,1,2,3,4,5,6,7,8,11,9,12,13,14,10,15,16,19,20,21,22,17,18,23,24,25,26,32,33,34,35,27,28,29,30,31,0,start,declaration,statement,statement',if',while',assignment,expression,conjunction,equality,relation,addition,a',term,f',factor,relation_op,eq_neg_op,add_sub_op,mul_div_op,literal,int_literal,bool_literal,float_literal,char_literal,type,identifier,letter,digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,r38,,,,r38,r38,,,,,,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,s51,,,,,,,,,,,,,,,,,,,,,,,,s57,s58,s59,s60,,,,s23,s36,,,,,,,,,87,43,44,45,46,,47,,48,,,,,50,52,53,54,55,,49,22,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,r50,,,,r50,r50,,,,,,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,r51,,,,r51,r51,,,,,,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,r52,,,,r52,r52,,,,,,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,r53,,,,r53,r53,,,,,,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,r54,,,,r54,r54,,,,,,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,r55,,,,r55,r55,,,,,,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,r56,,,,r56,r56,,,,,,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,r57,,,,r57,r57,,,,,,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,r58,,,,r58,r58,,,,,,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,s88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,s89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,s92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,r17,r17,,,,,r17,,r17,,,,,,,,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,s51,,,,,,,,,,,,,,,,,,,,,,,,s57,s58,s59,s60,,,,s23,s36,,,,,,,,,,93,44,45,46,,47,,48,,,,,50,52,53,54,55,,49,22,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,s51,,,,,,,,,,,,,,,,,,,,,,,,s57,s58,s59,s60,,,,s23,s36,,,,,,,,,,,94,45,46,,47,,48,,,,,50,52,53,54,55,,49,22,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,s51,,,,,,,,,,,,,,,,,,,,,,,,s57,s58,s59,s60,,,,s23,s36,,,,,,,,,,,,95,46,,47,,48,,,,,50,52,53,54,55,,49,22,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,r44,,,,,,,,,,,,,,,,,,,,,,,,r44,r44,r44,r44,,,,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,r45,,,,,,,,,,,,,,,,,,,,,,,,r45,r45,r45,r45,,,,r45,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,s51,,,,,,,,,,,,,,,,,,,,,,,,s57,s58,s59,s60,,,,s23,s36,,,,,,,,,,,,,96,,47,,48,,,,,50,52,53,54,55,,49,22,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,r40,,,,,,,,,,,,,,,,,,,,,,,,r40,r40,r40,r40,,,,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,r41,,,,,,,,,,,,,,,,,,,,,,,,r41,r41,r41,r41,,,,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
